紫雪,紫雪，用于热病，高热烦燥，神昏谵语，惊风抽搐，斑疹叶衄，尿赤便秘。
盐酸特比萘芬凝胶,盐酸特比萘芬凝胶（Terbinafine Hydrochloride Gel），商品名顺峰康宁、倍佳。用于治疗手癣、足癣、股癣、体癣、花斑癣及皮肤念珠菌病等。
盐酸小檗胺片,盐酸小檗胺片（Berbamine　Hydrochloride　Tablets），商品名升白安片、升百康、升白安、可济生白安盐酸小檗胺片。用于各种原因引起的白细胞减少症。亦可用于预防癌症放疗、化疗后白细胞减少。
万宝油,【方剂名称】万宝油
宁心宝胶囊,宁心宝胶囊，本品有提高窦性心律，改善窦房结、房室传导功能，改善心脏功能
乌洛托品溶液,乌洛托品溶液（Methenamine Solution），商品名西施兰夏露。用于手足多汗及腋臭（狐臭）的治疗。
阿苯达唑片,阿苯达唑片（Albendazol Tablets），商品名肠虫清片、唯虫清。本品为广谱驱虫药，除用于治疗钩虫、蛔虫、鞭虫、蛲虫、施毛虫等线虫病外，还可用于治疗囊虫和包虫病。
磺胺甲噁唑片,磺胺甲噁唑片（Sulfamethoxazole Tablets），磺胺类药属广谱抗菌药，但由于目前许多临床常见病原菌对该类药物耐药,故仅用于敏感细菌及其他敏感病原微生物所致感染。 磺胺甲噁唑(不包括该类药与甲氧苄啶的复方制剂)的适应症为：
前列泰片,前列泰片，清热利湿，活血散结，适用于慢性前列腺炎湿热挟瘀证。
紫花烧伤膏,紫花烧伤膏，清热凉血，化瘀解毒，止痛生肌。用于轻度水火烫伤。
注射用米卡芬净钠,注射用米卡芬净钠（afungin Sodium for Injection），商品名米开民。由曲霉菌和念珠菌引起的下列感染：真菌血症、呼吸道真菌病、胃肠道真菌病。
更昔洛韦胶囊,更昔洛韦胶囊（Ganciclovir Capsulels），商品名丽科乐。本品用于免疫功能损伤引起巨细胞病毒感染的患者。 1、于免疫功能损伤（包括艾滋病患者）发生的巨细胞病毒性视网膜炎的维持治疗。 2、预防可能发生于器官移植受者的巨细胞病毒感染。 3、预防晚期HIV感染患者的巨细胞病毒感染。
白带丸,白带丸，清湿热，止带下。用于湿热下注，赤白带下。
聚甲酚磺醛溶液,聚甲酚磺醛溶液（Policresulen Solution），商品名爱宝疗。1.妇科：用于治疗宫颈糜烂、宫颈炎、各类阴道感染(如细菌、滴虫和霉菌引起的白带增多)、外阴瘙痒、使用子宫托造成的压迫性溃疡、宫颈息肉切除或切片检查后的止血，尖锐湿疣及加速电凝治疗后的伤口愈合;还可用于乳腺炎的预防(乳头皲裂的烧灼)。 2.外科与皮肤科：用于皮肤伤口与病变的局部治疗(如烧伤、肢体溃疡、褥疮、慢性炎症等)，能够加速坏死组织的脱落，止血和促进愈合过程及用于尖锐湿疣的治疗。 3.口腔科：用于治疗口腔粘膜和齿龈的炎症，口腔溃疡及扁桃体切除后的止血。
连蒲双清片,连蒲双清片，清热解毒，燥湿止痢。用于肠炎痢疾，疖肿外伤发炎，乳腺炎，胆囊炎等症。
甲磺酸帕珠沙星氯化钠注射液,甲磺酸帕珠沙星氯化钠注射液（Pazufloxacin Mesilate and Sodium Chloride Injection），商品名巴红、伏立特、派抒可、敏星、博信、莱美净、米斯龙、佳乐同欣、亚征利、恒沐、君克多、尼赛信、宣搏、仁格多那。品对葡萄球菌属、链球菌属、肠球菌、淋球菌、嗜血杆菌、大肠埃希菌、枸橼酸杆菌属、克雷伯氏菌、肠杆菌属、沙雷氏菌属、变形杆菌属、摩根菌属、普罗维登氏菌属、流感嗜血杆菌、铜绿假单孢菌、不动杆菌属、拟杆菌属之中敏感菌引起的下列中、重度感染有效：1．呼吸系统感染：急性支气管炎、慢性支气管炎急性感染、化脓性扁桃体炎、扁桃体周围脓肿、肺炎、肺脓肿、慢性呼吸系统疾病合并感染等；2．泌尿系统感染：急性尿道炎、急性膀胱炎、急性肾盂肾炎、慢性肾盂肾炎急性发作、复杂性尿路感染、急性细菌性前列腺炎等；3．妇科感染：子宫附件炎、子宫旁结合线炎、盆腔炎；4．其它感染：烫伤感染、手术后伤口感染、胆囊炎、胆管炎、肝脓疡、腹腔脓疡、腹膜炎等。
云南白药创可贴,云南白药创可贴，止血，镇痛，消炎，愈创。用于小面积开放性外科创伤。
川芎茶调颗粒,川芎茶调颗粒，疏风止痛。用于风邪头痛，或有恶寒，发热，鼻塞。
力加寿片,力加寿片，补脾益肾，滋阴养血，益智安神。适用于因年老体衰出现的疲乏、心悸、失眠、健忘、尿频，并可用于慢性病恢复期增强体质。
通脉降脂片,通脉降脂片，降脂化浊，活血通脉。用于治疗高血脂症，防治动脉粥样硬化。
甲泼尼龙片,甲泼尼龙片（Methylprednisolone Tablets），商品名尤金、美卓乐。系统性红斑狼疮〔和狼疮性肾炎);全身性皮肌炎(多发性肌炎);急性风湿性心肌炎；风湿性多肌痛；巨细胞关节。天疱疮；大疱疱疹性皮炎；剥脱性皮炎；样真菌病；严重的银屑病；严重的脂溢性皮炎；季节性或全年性过敏性鼻炎；血清病；支气管哮喘；药物过敏反应；接触性皮炎；异位性皮炎；累及眼部及其附属器的严重的眼部急慢性过敏和炎症，例如：过敏性角膜边缘溃疡；眼部带状疱疹；眼前睫感染扩散性后房色素层炎和脉络膜炎；交感性眼炎。过敏性结膜炎角膜炎脉络视网膜炎；视神经炎；虹膜炎、虹膜睫状体炎肺部肉瘤病；其他方法不能控制的吕弗勒氏综合症(Loffler’s Syndrom )与适当的抗结核化疗法合用于暴发性或扩散性肺结核；用于无尿毒症的自发性或狼疮性肾病综合征的利尿及缓解蛋白尿。溃疡性结肠炎；局限性回肠炎；多发性硬化症急性危重期；控制脑部肿瘤引起的水肿。
盐酸酚苄明片,盐酸酚苄明片（Phenoxybenzamine Hydrochloride Tablets），商品名竹林胺。（1）嗜铬细胞瘤的治疗和术前准备。（2）周围血管痉挛性疾病。（3）前列腺增生引起的尿潴留。
麝香抗栓胶囊,麝香抗栓胶囊
地喹氯铵含片,地喹氯铵含片（Degualinium Chloride Buccal Tablets），商品名泰乐奇。用于急、慢性咽喉炎，口腔黏膜溃疡、齿龈炎。
注射用胰蛋白酶,注射用胰蛋白酶（Trypsin for Injection），用于清除血凝块、脓液、坏死组织及炎性渗出物，用于坏死性创伤、溃疡、血肿、脓肿及炎症等的辅助治疗。 眼科用本品治疗各种眼部炎症、出血性眼病以及眼外伤、视网膜震荡等。 本品还可应用于毒蛇咬伤，使毒素分解破坏。
盐酸氮卓斯汀鼻喷剂,盐酸氮卓斯汀鼻喷剂（Azelastine Hydrochloride Nasal Spray），商品名爱赛平。季节性过敏性鼻炎(花粉症)和常年性过敏性鼻炎。
盐酸特比萘芬阴道泡腾片,盐酸特比萘芬阴道泡腾片（Terbinafine Hydrochloride Vaginal Effervescent Tablets），商品名丁克。念珠菌性阴道炎。
桂枝茯苓胶囊,桂枝茯苓胶囊，活血、化瘀。用于妇人淤血阻络所致经闭，痛经，产后恶露不尽，子宫肌瘤，慢性盆腔炎包块，痛经，子宫内膜异味症，卵巢囊肿见上述症候者。
益母草颗粒,益母草颗粒，活血调经。用于月经量少，产后腹痛。
司帕沙星片,司帕沙星片（Sparfloxacin Tablets），商品名世保扶、巴沙、海正立特、森澳欣。本品可用于由敏感菌引起的轻、中度感染，包括： 1. 呼吸系统感染：如急性咽炎、急性扁桃体炎、中耳炎、副鼻窦炎、支气管炎、支气管扩张合并感染、肺炎等。 2. 肠道感染：如细菌性痢疾、伤寒、感染性肠炎、沙门菌肠炎等。 3. 胆道感染：如胆囊炎、胆管炎等。 4. 泌尿生殖系统感染：如膀胱炎、肾盂肾炎、前列腺炎、淋病奈瑟菌性尿道炎、非淋病奈瑟菌性尿道炎、子宫附件炎、子宫内感染、子宫颈炎、前庭大腺炎等及由溶脲脲原体、沙眼衣原体所致的泌尿生殖道感染。 5. 皮肤、软组织感染：如脓胞疮、集族性痤疮、毛囊炎、疖、疖肿、痈、丹毒、蜂窝组织炎、淋巴结炎、淋巴管炎、皮下脓肿、汗腺炎、乳腺炎、外伤及手术伤口感染等。 6. 口腔科感染：如牙周组织炎、牙冠周炎、腭炎等。
盐酸伐昔洛韦胶囊,盐酸伐昔洛韦胶囊
酮洛芬胶囊,酮洛芬胶囊（Ketoprofen Capsules），用于缓解轻至中度疼痛，如关节痛、神经痛、肌肉痛、偏头痛、头痛、痛经、牙痛。
低分子量肝素钠注射液,低分子量肝素钠注射液（Low Molecular Weight Heparin Sodium Injection），商品名乐尚、吉派林、海普宁。本品主要用于血液透析时预防血凝块形成，也可用于预防深部静脉血栓形成。易栓症或已有静脉血栓塞症的妊娠妇女为本品适应症。
醋酸曲普瑞林注射液,醋酸曲普瑞林注射液（Triptorelin Acetate Injection），商品名达必佳。适用于不育治疗下所需的垂体降调节［例如：体外受精术(IVF)、配子输卵管内移植(GIFT)和无辅助治疗方法的促卵泡成熟等］。
盐酸二氧丙嗪片,盐酸二氧丙嗪片（Dioxopromethazine Hydrochloride Tablets），适用于镇咳、平喘。也适用于治疗荨麻疹及皮肤瘙痒症等。
血府逐瘀颗粒,[拼音名]：Xuefu Zhuyu Keli
降脂灵片,降脂灵片，补肝益肾，养血，明目，降脂。用于肝肾阴虚，头晕，目昏，须发早白，高血脂症。
消结安胶囊,【药品名称】：消结安胶囊
开塞露,开塞露（Enema Glycerini），用于小儿及年老体弱者便秘的治疗。
奥美拉唑镁肠溶片,奥美拉唑镁肠溶片（Omeprazole Magnesium Enteric-coared Tablets），商品名洛赛克MUPS、洛赛克。治疗十二指肠溃疡、胃溃疡和反流性食管炎；与抗生素联合用药，治疗感染幽门螺杆菌的十二指肠溃疡；治疗非甾体类抗炎药相关的消化性溃疡和胃十二指肠糜烂；预防非甾体类抗炎药引起的消化性溃疡、胃十二指肠糜烂或消化不良症状；亦用于慢性复发性消化性溃疡和反流性食管炎的维持治疗；用于胃-食管反流病的烧心感和反流的对症治疗；溃疡样症状的对症治疗及酸相关性消化不良；用于卓-艾氏综合征的治疗。
金玄痔科熏洗散,金玄痔科熏洗散，清热解毒、消肿止痛、祛风燥湿，用于各种外痔、混合痔、痔嵌顿,肛门术后肿胀，疼痛等。
复方薄荷脑软膏,复方薄荷脑软膏（Compound Mentholatum Ointment），商品名曼秀雷敦栢可。用于由伤风感冒所致的鼻塞、昆虫叮咬、皮肤皲裂、轻度烧烫伤、擦伤、晒伤及皮肤瘙痒等。
注射用硝普钠,注射用硝普钠（Sodium　Nitroprusside　for　Injection），1.用于高血压急症，如高血压危象、高血压脑病、恶性高血压、嗜铬细胞瘤手术前后阵发性高血压等的紧急降压，也可用于外科麻醉期间进行控制性降压。2.用于急性心力衰竭，包括急性肺水肿。亦用于急性心肌梗死或瓣膜（二尖瓣或主动脉瓣）关闭不全时的急性心力衰竭。
炔诺酮片,炔诺酮片（Norethisterone Tablets），用于月经不调、子宫功能出血、子宫内膜异位症等;单方或与雌激素合用能抑制排卵，作避孕药。
注射用英夫利西单抗,注射用英夫利西单抗（Infliximab for Injection），商品名类克。1、类风湿关节炎 ：本品是疾病控制性抗风湿药物。对于中重度活动性类风湿关节炎患者，本品与甲氨蝶呤合用可用于 ：减轻症状和体征 ;改善身体机能，预防患者残疾。 2、克罗恩病 ：对于接受传统治疗效果不佳的中重度活动性克罗恩病患者，本品可用于 ：减轻症状和体征 ;达到并维持临床疗效 ;促进粘膜愈合 ;改善生活质量 ;使患者减少皮质激素用量或停止使用皮质激素。 3、痿管性克罗恩病 ：对于痿管性克罗恩病患者，本品可用于 ：减少肠-皮肤痿管和直肠-阴道痿管的数量，促进并维持痿管愈合 ;减轻症状和体征 ;改善生活质量。 4、强直性脊柱炎(AS) ：对于活动性强直性脊柱炎患者，本品可用于 ：减轻症状和体征，包括增加活动幅度 ;改善身体机能 ;改善生活质量。
波生坦片,波生坦片（Bosentan Tablets），商品名全可利。本品用于治疗WHO III 期和IV 期原发性肺高压病人的肺动脉高压，或者硬皮病引起的肺高压。
注射用布美他尼,注射用布美他尼（Bumetanide for Injection），商品名辛帝。1.水肿性疾病包括充血性心力衰竭、肝硬化、肾脏疾病(肾炎、肾病及各种原因所致的急、慢性肾功能衰竭)，尤其是应用其他利尿药效果不佳时，应用本类药物仍可能有效。与其他药物合用治疗急性肺水肿和急性脑水肿等。 2.高血压 在高血压的阶梯疗法中，不作为治疗原发性高血压的首选药物，但当噻嗪类药物疗效不佳，尤其当伴有肾功能不全或出现高血压危象时，本类药物尤为适用。 3.预防急性肾功能衰竭用于各种原因导致肾脏血流灌注不足，例如失水、休克、中毒、麻醉意外以及循环功能不全等，在纠正血容量不足的同时及时应用，可减少急性肾小管坏死的机会。 4.高钾血症及高钙血症。 5.稀释性低钠血症尤其是当血钠浓度低于120mmol/L时。 6.抗利尿激素分泌过多症（SIADH）。 7.急性药物毒物中毒 如巴比妥类药物中毒等。 8.对某些呋塞米无效的病例仍可能有效。
转移因子胶囊,转移因子胶囊（Transfer Factor Capsules），商品名纯德、百加。用于治疗病毒性感染和自身免疫性疾病：1.皮肤病；扁平疣，带状疱疹，单纯疱疹，两周为一个疗程；银痟病，尖锐湿疣等，三个月为一个疗程；2.呼吸道疾病；反复感冒，支气管炎，哮喘，慢性支气管炎，过敏性鼻炎，流行性腮腺炎等，两周一个疗程；3.病毒性肝炎，肝硬化，流行性出血热等，三个月一个疗程；4.其他：（1）肾病综合征，类风湿性关节炎，过敏性紫癜，硬皮肤，红斑浪疮，溃疡病等，三个月一个疗程。（2）恶性肿瘤，肿瘤病人放化疗后的辅助治疗，一个月一个疗程。
硝酸咪康唑栓,硝酸咪康唑栓（Mico Nazole Nitrate Suppositories），商品名达克宁。用于念球菌性外阴阴道炎和革兰阳性细菌引起的重复感染。
乙酰半胱氨酸泡腾片,乙酰半胱氨酸泡腾片（Acetylcysteine Effervescent Tablets），商品名富露施。主要用于各种呼吸道疾病引起的痰液稠厚、咳痰困难。还可用于治疗和预防手术后咳痰困难和肺炎并发症等疾病。
